strategy,threshold,accuracy,precision,recall,f1,tp,tn,fp,fn,positive_predictions
iid,0.78,0.9505,0.3333,0.4559,0.3851,31,1870,62,37,93
iid,0.79,0.956,0.375,0.4412,0.4054,30,1882,50,38,80
iid,0.8,0.9585,0.3913,0.3971,0.3942,27,1890,42,41,69
iid,0.81,0.9605,0.4098,0.3676,0.3876,25,1896,36,43,61
iid,0.82,0.962,0.431,0.3676,0.3968,25,1899,33,43,58
iid,0.83,0.962,0.4231,0.3235,0.3667,22,1902,30,46,52
iid,0.84,0.964,0.4565,0.3088,0.3684,21,1907,25,47,46
iid,0.85,0.9655,0.4878,0.2941,0.367,20,1911,21,48,41
iid,0.86,0.966,0.5,0.2794,0.3585,19,1913,19,49,38
iid,0.87,0.9665,0.5152,0.25,0.3366,17,1916,16,51,33
iid,0.88,0.9675,0.5517,0.2353,0.3299,16,1919,13,52,29
iid,0.89,0.9675,0.56,0.2059,0.3011,14,1921,11,54,25
iid,0.9,0.9695,0.6842,0.1912,0.2989,13,1926,6,55,19
iid,0.91,0.9685,0.6471,0.1618,0.2588,11,1926,6,57,17
iid,0.92,0.9685,0.6923,0.1324,0.2222,9,1928,4,59,13
iid,0.93,0.968,0.6667,0.1176,0.2,8,1928,4,60,12
iid,0.94,0.968,0.7,0.1029,0.1795,7,1929,3,61,10
iid,0.95,0.9665,0.6,0.0441,0.0822,3,1930,2,65,5
moderate_non_iid,0.05,0.0705,0.0353,1.0,0.0682,68,73,1859,0,1927
moderate_non_iid,0.06,0.0915,0.0361,1.0,0.0696,68,115,1817,0,1885
moderate_non_iid,0.07,0.1175,0.0371,1.0,0.0715,68,167,1765,0,1833
moderate_non_iid,0.08,0.1415,0.0381,1.0,0.0734,68,215,1717,0,1785
moderate_non_iid,0.09,0.158,0.0388,1.0,0.0747,68,248,1684,0,1752
moderate_non_iid,0.1,0.1765,0.0391,0.9853,0.0752,67,286,1646,1,1713
moderate_non_iid,0.11,0.196,0.04,0.9853,0.0769,67,325,1607,1,1674
moderate_non_iid,0.12,0.213,0.0409,0.9853,0.0785,67,359,1573,1,1640
moderate_non_iid,0.13,0.2385,0.0416,0.9706,0.0798,66,411,1521,2,1587
moderate_non_iid,0.14,0.2665,0.0425,0.9559,0.0814,65,468,1464,3,1529
moderate_non_iid,0.15,0.2825,0.0434,0.9559,0.0831,65,500,1432,3,1497
moderate_non_iid,0.16,0.299,0.0444,0.9559,0.0849,65,533,1399,3,1464
moderate_non_iid,0.17,0.3195,0.0457,0.9559,0.0872,65,574,1358,3,1423
moderate_non_iid,0.18,0.344,0.0473,0.9559,0.0902,65,623,1309,3,1374
moderate_non_iid,0.19,0.3605,0.0485,0.9559,0.0923,65,656,1276,3,1341
moderate_non_iid,0.2,0.3805,0.05,0.9559,0.095,65,696,1236,3,1301
moderate_non_iid,0.21,0.398,0.0506,0.9412,0.0961,64,732,1200,4,1264
moderate_non_iid,0.22,0.4125,0.0518,0.9412,0.0982,64,761,1171,4,1235
moderate_non_iid,0.23,0.4285,0.0532,0.9412,0.1007,64,793,1139,4,1203
moderate_non_iid,0.24,0.446,0.054,0.9265,0.1021,63,829,1103,5,1166
moderate_non_iid,0.25,0.4625,0.0556,0.9265,0.1049,63,862,1070,5,1133
moderate_non_iid,0.26,0.482,0.0576,0.9265,0.1084,63,901,1031,5,1094
moderate_non_iid,0.27,0.4975,0.0593,0.9265,0.1114,63,932,1000,5,1063
moderate_non_iid,0.28,0.512,0.0609,0.9265,0.1143,63,961,971,5,1034
moderate_non_iid,0.29,0.529,0.063,0.9265,0.118,63,995,937,5,1000
moderate_non_iid,0.3,0.5405,0.0636,0.9118,0.1189,62,1019,913,6,975
moderate_non_iid,0.31,0.5525,0.0652,0.9118,0.1217,62,1043,889,6,951
moderate_non_iid,0.32,0.561,0.0655,0.8971,0.122,61,1061,871,7,932
moderate_non_iid,0.33,0.574,0.0673,0.8971,0.1253,61,1087,845,7,906
moderate_non_iid,0.34,0.5875,0.0694,0.8971,0.1288,61,1114,818,7,879
moderate_non_iid,0.35,0.6005,0.0695,0.8676,0.1287,59,1142,790,9,849
moderate_non_iid,0.36,0.6145,0.0719,0.8676,0.1327,59,1170,762,9,821
moderate_non_iid,0.37,0.6305,0.0737,0.8529,0.1357,58,1203,729,10,787
moderate_non_iid,0.38,0.645,0.0743,0.8235,0.1363,56,1234,698,12,754
moderate_non_iid,0.39,0.6635,0.0781,0.8235,0.1427,56,1271,661,12,717
moderate_non_iid,0.4,0.67,0.0783,0.8088,0.1429,55,1285,647,13,702
moderate_non_iid,0.41,0.681,0.0809,0.8088,0.1471,55,1307,625,13,680
moderate_non_iid,0.42,0.6975,0.085,0.8088,0.1538,55,1340,592,13,647
moderate_non_iid,0.43,0.707,0.0863,0.7941,0.1556,54,1360,572,14,626
moderate_non_iid,0.44,0.7155,0.0873,0.7794,0.157,53,1378,554,15,607
moderate_non_iid,0.45,0.727,0.0908,0.7794,0.1626,53,1401,531,15,584
moderate_non_iid,0.46,0.7375,0.0941,0.7794,0.168,53,1422,510,15,563
moderate_non_iid,0.47,0.7455,0.0969,0.7794,0.1724,53,1438,494,15,547
moderate_non_iid,0.48,0.7545,0.0987,0.7647,0.1748,52,1457,475,16,527
moderate_non_iid,0.49,0.7675,0.1038,0.7647,0.1828,52,1483,449,16,501
moderate_non_iid,0.5,0.776,0.1074,0.7647,0.1884,52,1500,432,16,484
moderate_non_iid,0.51,0.789,0.1135,0.7647,0.1977,52,1526,406,16,458
moderate_non_iid,0.52,0.7975,0.1179,0.7647,0.2043,52,1543,389,16,441
moderate_non_iid,0.53,0.804,0.1197,0.75,0.2065,51,1557,375,17,426
moderate_non_iid,0.54,0.81,0.1232,0.75,0.2116,51,1569,363,17,414
moderate_non_iid,0.55,0.818,0.1281,0.75,0.2189,51,1585,347,17,398
moderate_non_iid,0.56,0.824,0.1302,0.7353,0.2212,50,1598,334,18,384
moderate_non_iid,0.57,0.8345,0.1357,0.7206,0.2284,49,1620,312,19,361
moderate_non_iid,0.58,0.8425,0.142,0.7206,0.2373,49,1636,296,19,345
moderate_non_iid,0.59,0.8485,0.145,0.7059,0.2406,48,1649,283,20,331
moderate_non_iid,0.6,0.8555,0.1514,0.7059,0.2494,48,1663,269,20,317
moderate_non_iid,0.61,0.858,0.1516,0.6912,0.2487,47,1669,263,21,310
moderate_non_iid,0.62,0.864,0.1577,0.6912,0.2568,47,1681,251,21,298
moderate_non_iid,0.63,0.869,0.1608,0.6765,0.2599,46,1692,240,22,286
moderate_non_iid,0.64,0.8795,0.1686,0.6471,0.2675,44,1715,217,24,261
moderate_non_iid,0.65,0.888,0.1777,0.6324,0.2774,43,1733,199,25,242
moderate_non_iid,0.66,0.8965,0.1911,0.6324,0.2935,43,1750,182,25,225
moderate_non_iid,0.67,0.9045,0.2029,0.6176,0.3055,42,1767,165,26,207
moderate_non_iid,0.68,0.907,0.202,0.5882,0.3008,40,1774,158,28,198
moderate_non_iid,0.69,0.911,0.2074,0.5735,0.3047,39,1783,149,29,188
moderate_non_iid,0.7,0.918,0.2241,0.5735,0.3223,39,1797,135,29,174
moderate_non_iid,0.71,0.921,0.2289,0.5588,0.3248,38,1804,128,30,166
moderate_non_iid,0.72,0.924,0.2342,0.5441,0.3274,37,1811,121,31,158
moderate_non_iid,0.73,0.929,0.25,0.5441,0.3426,37,1821,111,31,148
moderate_non_iid,0.74,0.932,0.2606,0.5441,0.3524,37,1827,105,31,142
moderate_non_iid,0.75,0.937,0.2698,0.5,0.3505,34,1840,92,34,126
moderate_non_iid,0.76,0.9425,0.2957,0.5,0.3716,34,1851,81,34,115
moderate_non_iid,0.77,0.947,0.3173,0.4853,0.3837,33,1861,71,35,104
moderate_non_iid,0.78,0.95,0.3333,0.4706,0.3902,32,1868,64,36,96
moderate_non_iid,0.79,0.9545,0.358,0.4265,0.3893,29,1880,52,39,81
moderate_non_iid,0.8,0.9575,0.3803,0.3971,0.3885,27,1888,44,41,71
moderate_non_iid,0.81,0.9605,0.4098,0.3676,0.3876,25,1896,36,43,61
moderate_non_iid,0.82,0.9615,0.4237,0.3676,0.3937,25,1898,34,43,59
moderate_non_iid,0.83,0.9635,0.451,0.3382,0.3866,23,1904,28,45,51
moderate_non_iid,0.84,0.964,0.4565,0.3088,0.3684,21,1907,25,47,46
moderate_non_iid,0.85,0.9655,0.4884,0.3088,0.3784,21,1910,22,47,43
moderate_non_iid,0.86,0.966,0.5,0.2794,0.3585,19,1913,19,49,38
moderate_non_iid,0.87,0.967,0.5312,0.25,0.34,17,1917,15,51,32
moderate_non_iid,0.88,0.9665,0.5172,0.2206,0.3093,15,1918,14,53,29
moderate_non_iid,0.89,0.967,0.5385,0.2059,0.2979,14,1920,12,54,26
moderate_non_iid,0.9,0.969,0.6364,0.2059,0.3111,14,1924,8,54,22
moderate_non_iid,0.91,0.9685,0.6471,0.1618,0.2588,11,1926,6,57,17
moderate_non_iid,0.92,0.9685,0.6923,0.1324,0.2222,9,1928,4,59,13
moderate_non_iid,0.93,0.968,0.6667,0.1176,0.2,8,1928,4,60,12
moderate_non_iid,0.94,0.968,0.7,0.1029,0.1795,7,1929,3,61,10
moderate_non_iid,0.95,0.967,0.6667,0.0588,0.1081,4,1930,2,64,6
highly_non_iid,0.05,0.063,0.035,1.0,0.0677,68,58,1874,0,1942
highly_non_iid,0.06,0.084,0.0358,1.0,0.0691,68,100,1832,0,1900
highly_non_iid,0.07,0.1035,0.0365,1.0,0.0705,68,139,1793,0,1861
highly_non_iid,0.08,0.1225,0.0373,1.0,0.0719,68,177,1755,0,1823
highly_non_iid,0.09,0.1465,0.0383,1.0,0.0738,68,225,1707,0,1775
highly_non_iid,0.1,0.1635,0.0391,1.0,0.0752,68,259,1673,0,1741
highly_non_iid,0.11,0.182,0.0399,1.0,0.0767,68,296,1636,0,1704
highly_non_iid,0.12,0.198,0.0401,0.9853,0.0771,67,329,1603,1,1670
highly_non_iid,0.13,0.2175,0.0405,0.9706,0.0778,66,369,1563,2,1629
highly_non_iid,0.14,0.233,0.0413,0.9706,0.0792,66,400,1532,2,1598
highly_non_iid,0.15,0.258,0.0426,0.9706,0.0817,66,450,1482,2,1548
highly_non_iid,0.16,0.275,0.043,0.9559,0.0823,65,485,1447,3,1512
highly_non_iid,0.17,0.2915,0.0439,0.9559,0.084,65,518,1414,3,1479
highly_non_iid,0.18,0.3135,0.0453,0.9559,0.0865,65,562,1370,3,1435
highly_non_iid,0.19,0.339,0.047,0.9559,0.0895,65,613,1319,3,1384
highly_non_iid,0.2,0.361,0.0485,0.9559,0.0923,65,657,1275,3,1340
highly_non_iid,0.21,0.3805,0.05,0.9559,0.095,65,696,1236,3,1301
highly_non_iid,0.22,0.398,0.0513,0.9559,0.0975,65,731,1201,3,1266
highly_non_iid,0.23,0.4095,0.0523,0.9559,0.0992,65,754,1178,3,1243
highly_non_iid,0.24,0.4245,0.0536,0.9559,0.1015,65,784,1148,3,1213
highly_non_iid,0.25,0.4435,0.0553,0.9559,0.1046,65,822,1110,3,1175
highly_non_iid,0.26,0.4555,0.0557,0.9412,0.1052,64,847,1085,4,1149
highly_non_iid,0.27,0.4695,0.0571,0.9412,0.1077,64,875,1057,4,1121
highly_non_iid,0.28,0.479,0.0581,0.9412,0.1094,64,894,1038,4,1102
highly_non_iid,0.29,0.4935,0.0588,0.9265,0.1106,63,924,1008,5,1071
highly_non_iid,0.3,0.509,0.0606,0.9265,0.1137,63,955,977,5,1040
highly_non_iid,0.31,0.524,0.0606,0.8971,0.1136,61,987,945,7,1006
highly_non_iid,0.32,0.5385,0.0615,0.8824,0.1151,60,1017,915,8,975
highly_non_iid,0.33,0.5525,0.0634,0.8824,0.1182,60,1045,887,8,947
highly_non_iid,0.34,0.5635,0.0639,0.8676,0.1191,59,1068,864,9,923
highly_non_iid,0.35,0.578,0.066,0.8676,0.1227,59,1097,835,9,894
highly_non_iid,0.36,0.5935,0.0684,0.8676,0.1267,59,1128,804,9,863
highly_non_iid,0.37,0.605,0.0702,0.8676,0.13,59,1151,781,9,840
highly_non_iid,0.38,0.6215,0.072,0.8529,0.1329,58,1185,747,10,805
highly_non_iid,0.39,0.639,0.0753,0.8529,0.1384,58,1220,712,10,770
highly_non_iid,0.4,0.649,0.0751,0.8235,0.1376,56,1242,690,12,746
highly_non_iid,0.41,0.6605,0.0763,0.8088,0.1394,55,1266,666,13,721
highly_non_iid,0.42,0.669,0.0781,0.8088,0.1425,55,1283,649,13,704
highly_non_iid,0.43,0.6795,0.0805,0.8088,0.1465,55,1304,628,13,683
highly_non_iid,0.44,0.6895,0.0817,0.7941,0.1481,54,1325,607,14,661
highly_non_iid,0.45,0.7035,0.0853,0.7941,0.1541,54,1353,579,14,633
highly_non_iid,0.46,0.714,0.0882,0.7941,0.1588,54,1374,558,14,612
highly_non_iid,0.47,0.727,0.0922,0.7941,0.1651,54,1400,532,14,586
highly_non_iid,0.48,0.737,0.0954,0.7941,0.1703,54,1420,512,14,566
highly_non_iid,0.49,0.7485,0.0994,0.7941,0.1768,54,1443,489,14,543
highly_non_iid,0.5,0.757,0.1027,0.7941,0.1818,54,1460,472,14,526
highly_non_iid,0.51,0.767,0.1067,0.7941,0.1882,54,1480,452,14,506
